Category_1,Category_2,Category_3,Category_4,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Children,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0.0,0.0,0.0,1.0,7.0,3,1,289.0,36.0,13.0,33.0,239.554,97.0,0.0,0.0,2.0,1.0,0.0,1.0,90.0,172.0,30.0,4.0
0.0,0.0,0.0,0.0,7.0,3,1,118.0,13.0,18.0,50.0,239.554,97.0,1.0,0.0,1.0,1.0,0.0,0.0,98.0,178.0,31.0,0.0
0.0,0.0,0.0,1.0,7.0,4,1,179.0,51.0,18.0,38.0,239.554,97.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,2.0
1.0,0.0,0.0,0.0,7.0,5,1,279.0,5.0,14.0,39.0,239.554,97.0,0.0,0.0,2.0,1.0,1.0,0.0,68.0,168.0,24.0,4.0
0.0,0.0,0.0,1.0,7.0,5,1,289.0,36.0,13.0,33.0,239.554,97.0,0.0,0.0,2.0,1.0,0.0,1.0,90.0,172.0,30.0,2.0
0.0,0.0,0.0,1.0,7.0,6,1,260.0,50.0,11.0,36.0,239.554,97.0,0.0,0.0,4.0,1.0,0.0,0.0,65.0,168.0,23.0,4.0
0.0,0.0,1.0,0.0,7.0,2,1,155.0,12.0,14.0,34.0,239.554,97.0,0.0,0.0,2.0,1.0,0.0,0.0,95.0,196.0,25.0,40.0
0.0,0.0,0.0,1.0,7.0,2,1,235.0,11.0,14.0,37.0,239.554,97.0,0.0,1.0,1.0,0.0,0.0,1.0,88.0,172.0,29.0,8.0
1.0,0.0,0.0,0.0,7.0,2,1,260.0,50.0,11.0,36.0,239.554,97.0,0.0,0.0,4.0,1.0,0.0,0.0,65.0,168.0,23.0,8.0
1.0,0.0,0.0,0.0,7.0,3,1,260.0,50.0,11.0,36.0,239.554,97.0,0.0,0.0,4.0,1.0,0.0,0.0,65.0,168.0,23.0,8.0
1.0,0.0,0.0,0.0,7.0,4,1,260.0,50.0,11.0,36.0,239.554,97.0,0.0,0.0,4.0,1.0,0.0,0.0,65.0,168.0,23.0,8.0
1.0,0.0,0.0,0.0,7.0,4,1,179.0,51.0,18.0,38.0,239.554,97.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,1.0
0.0,0.0,1.0,0.0,7.0,2,1,179.0,51.0,18.0,38.0,239.554,97.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,8.0
1.0,0.0,0.0,0.0,7.0,5,1,189.0,29.0,13.0,33.0,239.554,97.0,0.0,0.0,2.0,0.0,0.0,2.0,69.0,167.0,25.0,8.0
0.0,0.0,0.0,1.0,8.0,4,1,248.0,25.0,14.0,47.0,205.917,92.0,0.0,0.0,2.0,0.0,0.0,1.0,86.0,165.0,32.0,2.0
1.0,0.0,0.0,0.0,8.0,2,1,179.0,51.0,18.0,38.0,205.917,92.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,1.0
1.0,0.0,0.0,0.0,8.0,2,1,361.0,52.0,3.0,28.0,205.917,92.0,0.0,0.0,1.0,1.0,0.0,4.0,80.0,172.0,27.0,40.0
0.0,0.0,0.0,1.0,8.0,6,1,260.0,50.0,11.0,36.0,205.917,92.0,0.0,0.0,4.0,1.0,0.0,0.0,65.0,168.0,23.0,4.0
0.0,0.0,0.0,1.0,8.0,2,1,361.0,52.0,3.0,28.0,205.917,92.0,0.0,0.0,1.0,1.0,0.0,4.0,80.0,172.0,27.0,7.0
0.0,0.0,0.0,1.0,8.0,3,1,289.0,36.0,13.0,33.0,205.917,92.0,0.0,0.0,2.0,1.0,0.0,1.0,90.0,172.0,30.0,1.0
0.0,0.0,1.0,0.0,8.0,4,1,289.0,36.0,13.0,33.0,205.917,92.0,0.0,0.0,2.0,1.0,0.0,1.0,90.0,172.0,30.0,8.0
0.0,0.0,0.0,1.0,8.0,6,1,179.0,51.0,18.0,38.0,205.917,92.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,2.0
0.0,0.0,1.0,0.0,8.0,2,1,179.0,51.0,18.0,38.0,205.917,92.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,8.0
0.0,0.0,1.0,0.0,8.0,2,1,235.0,29.0,12.0,48.0,205.917,92.0,0.0,0.0,1.0,0.0,1.0,5.0,88.0,163.0,33.0,8.0
0.0,0.0,0.0,1.0,8.0,2,1,179.0,51.0,18.0,38.0,205.917,92.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,2.0
0.0,0.0,0.0,1.0,8.0,2,1,361.0,52.0,3.0,28.0,205.917,92.0,0.0,0.0,1.0,1.0,0.0,4.0,80.0,172.0,27.0,1.0
0.0,0.0,0.0,1.0,8.0,3,1,289.0,36.0,13.0,33.0,205.917,92.0,0.0,0.0,2.0,1.0,0.0,1.0,90.0,172.0,30.0,8.0
0.0,0.0,0.0,1.0,8.0,6,1,235.0,29.0,12.0,48.0,205.917,92.0,0.0,0.0,1.0,0.0,1.0,5.0,88.0,163.0,33.0,8.0
0.0,0.0,0.0,1.0,8.0,6,1,260.0,50.0,11.0,36.0,205.917,92.0,0.0,0.0,4.0,1.0,0.0,0.0,65.0,168.0,23.0,4.0
0.0,0.0,0.0,1.0,9.0,3,1,184.0,42.0,7.0,27.0,241.476,92.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,167.0,21.0,2.0
0.0,0.0,1.0,0.0,9.0,3,1,235.0,20.0,13.0,43.0,241.476,92.0,0.0,0.0,1.0,1.0,0.0,0.0,106.0,167.0,38.0,8.0
0.0,0.0,0.0,1.0,9.0,4,1,155.0,12.0,14.0,34.0,241.476,92.0,0.0,0.0,2.0,1.0,0.0,0.0,95.0,196.0,25.0,2.0
0.0,0.0,0.0,1.0,9.0,3,1,179.0,51.0,18.0,38.0,241.476,92.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,3.0
0.0,0.0,0.0,1.0,9.0,5,1,291.0,31.0,12.0,40.0,241.476,92.0,0.0,0.0,1.0,1.0,0.0,1.0,73.0,171.0,25.0,4.0
0.0,0.0,0.0,0.0,9.0,2,4,225.0,26.0,9.0,28.0,241.476,92.0,1.0,0.0,1.0,0.0,0.0,2.0,69.0,169.0,24.0,0.0
0.0,0.0,0.0,0.0,9.0,3,4,289.0,36.0,13.0,33.0,241.476,92.0,1.0,0.0,2.0,1.0,0.0,1.0,90.0,172.0,30.0,0.0
0.0,0.0,0.0,1.0,9.0,6,4,248.0,25.0,14.0,47.0,241.476,92.0,0.0,0.0,2.0,0.0,0.0,1.0,86.0,165.0,32.0,1.0
0.0,0.0,0.0,1.0,9.0,6,4,179.0,51.0,18.0,38.0,241.476,92.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,3.0
0.0,0.0,0.0,1.0,9.0,6,4,260.0,50.0,11.0,36.0,241.476,92.0,0.0,0.0,4.0,1.0,0.0,0.0,65.0,168.0,23.0,4.0
0.0,0.0,0.0,1.0,10.0,3,4,179.0,51.0,18.0,38.0,253.465,93.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,3.0
0.0,0.0,0.0,1.0,10.0,6,4,225.0,26.0,9.0,28.0,253.465,93.0,0.0,0.0,1.0,0.0,0.0,2.0,69.0,169.0,24.0,3.0
0.0,0.0,0.0,1.0,10.0,3,4,118.0,10.0,10.0,37.0,253.465,93.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,172.0,28.0,3.0
